Id,Label,timeset,componentnumber,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,betweennesscentrality2,bridgingcoefficient,bridgingcentrality,Authority,Hub,modularity_class,clustering,triangles,eigencentrality
2327,,,1,6,14,24,0.091235,0.103551,2500.333333,0.000553,0.176408,0.000098,0.000002,0.000002,14,0.666667,10,0.046742
2328,,,1,8,16,24,0.09124,0.103884,10003,0.002213,0.089088,0.000197,0.000002,0.000002,14,0.5,14,0.054375
2329,,,1,10,20,24,0.091262,0.104549,35976,0.00796,0.047201,0.000376,0.000002,0.000002,14,0.288889,13,0.059818
2330,,,1,6,14,24,0.091235,0.103551,2500.333333,0.000553,0.176408,0.000098,0.000002,0.000002,14,0.666667,10,0.046742
8148,,,1,4,8,24,0.091182,0.102443,0,0,0.302326,0,0.000002,0.000002,14,1,6,0.02538
8149,,,1,4,8,24,0.091182,0.102443,0,0,0.302326,0,0.000002,0.000002,14,1,6,0.02538
8150,,,1,4,8,24,0.091182,0.102443,0,0,0.302326,0,0.000002,0.000002,14,1,6,0.02538
8151,,,1,4,8,24,0.091182,0.102443,0,0,0.302326,0,0.000002,0.000002,14,1,6,0.02538
10057,,,1,1,2,24,0.091174,0.101944,0,0,13,0,0.000001,0.000001,14,0,0,0.012194
899,,,1,5,24,20,0.094697,0.107451,1001.333333,0.000222,0.231593,0.000051,0.000002,0.000002,0,0.8,8,0.044267
902,,,1,5,24,20,0.094697,0.107451,1001.333333,0.000222,0.231593,0.000051,0.000002,0.000002,0,0.8,8,0.044267
3354,,,1,5,18,20,0.094697,0.107451,1001.333333,0.000222,0.231593,0.000051,0.000002,0.000002,0,0.8,8,0.044267
11216,,,1,3,6,21,0.086512,0.09546,0,0,0.555556,0,0.000001,0.000001,0,1,3,0.019568
3003,,,1,6,12,21,0.086682,0.097697,21000,0.004647,0.113821,0.000529,0,0,0,0.466667,7,0.032634
3004,,,1,2,4,21,0.086665,0.096865,0,0,2.1,0,0,0,0,1,1,0.018551
3035,,,1,4,8,20,0.094691,0.107229,0,0,0.396667,0,0.000002,0.000002,0,1,6,0.039325
3036,,,1,4,8,20,0.094691,0.107229,0,0,0.396667,0,0.000002,0.000002,0,1,6,0.039325
3037,,,1,4,8,20,0.094691,0.107229,0,0,0.396667,0,0.000002,0.000002,0,1,6,0.039325
7766,,,1,6,12,21,0.086727,0.097817,12015,0.002658,0.071795,0.000191,0,0,0,0.266667,4,0.026901
11839,,,1,2,4,20,0.094685,0.106896,0,0,3.83871,0,0.000002,0.000002,0,1,1,0.027724
1100,,,1,6,12,18,0.116015,0.137175,199852,0.04422,0.124178,0.005491,0.000123,0.000123,5,0.466667,7,0.08394
8026,,,1,2,4,19,0.1042,0.119078,0,0,2.217391,0,0.000013,0.000013,5,1,1,0.024741
8420,,,1,1,2,20,0.094566,0.106001,0,0,17,0,0.000002,0.000002,0,0,0,0.014833
12479,,,1,4,8,20,0.094575,0.1065,0,0,0.309091,0,0.000002,0.000002,0,1,6,0.029153
12480,,,1,4,8,20,0.094575,0.1065,0,0,0.309091,0,0.000002,0.000002,0,1,6,0.029153
12481,,,1,4,8,20,0.094575,0.1065,0,0,0.309091,0,0.000002,0.000002,0,1,6,0.029153
12482,,,1,4,8,20,0.094575,0.1065,0,0,0.309091,0,0.000002,0.000002,0,1,6,0.029153
908,,,1,4,8,26,0.076316,0.084156,0,0,0.315789,0,0,0,29,1,6,0.02019
909,,,1,4,8,26,0.076316,0.084156,0,0,0.315789,0,0,0,29,1,6,0.02019
910,,,1,4,8,26,0.076316,0.084156,0,0,0.315789,0,0,0,29,1,6,0.02019
911,,,1,6,12,26,0.07632,0.084488,6010,0.00133,0.088889,0.000118,0,0,29,0.466667,7,0.023633
912,,,1,8,18,25,0.082608,0.093448,18006,0.003984,0.077491,0.000309,0.000001,0.000001,29,0.428571,12,0.048068
9470,,,1,2,4,27,0.070911,0.076777,0,0,0.75,0,0,0,29,1,1,0.006802
9471,,,1,2,4,27,0.070911,0.076777,0,0,0.75,0,0,0,29,1,1,0.006802
2425,,,1,4,8,25,0.082594,0.092672,0,0,0.4375,0,0.000001,0.000001,29,1,6,0.0339
2426,,,1,14,32,25,0.082621,0.094446,35973.333333,0.00796,0.02449,0.000195,0.000001,0.000001,29,0.252747,23,0.082949
2427,,,1,4,10,25,0.082594,0.092672,0,0,0.4375,0,0.000001,0.000001,29,1,6,0.0339
2428,,,1,8,20,24,0.089971,0.103203,65670,0.01453,0.08794,0.001278,0.000004,0.000004,29,0.428571,12,0.059511
916,,,1,6,14,21,0.114413,0.134983,845.81398,0.000187,0.154364,0.000029,0.000365,0.000365,15,0.6,9,0.065533
917,,,1,10,24,21,0.120521,0.147564,226215.138685,0.050053,0.058727,0.002939,0.000639,0.000639,15,0.311111,14,0.138103
918,,,1,9,18,21,0.114426,0.135482,15016,0.003322,0.04501,0.00015,0.000338,0.000338,15,0.277778,10,0.069939
919,,,1,8,16,21,0.114832,0.137471,103352.725687,0.022868,0.112026,0.002562,0.000343,0.000343,15,0.428571,12,0.099264
920,,,1,13,34,20,0.124169,0.151582,134722.368712,0.029809,0.025662,0.000765,0.002011,0.002011,15,0.24359,19,0.175886
6411,,,1,3,6,21,0.110466,0.12758,0,0,0.577778,0,0.00025,0.00025,15,1,3,0.032207
6412,,,1,3,6,21,0.110466,0.12758,0,0,0.577778,0,0.00025,0.00025,15,1,3,0.032207
965,,,1,19,64,20,0.126366,0.15716,201002.832753,0.044474,0.015127,0.000673,0.002862,0.002862,15,0.204678,35,0.308584
4083,,,1,2,4,21,0.115605,0.136516,0,0,3.275862,0,0.000333,0.000333,15,1,1,0.047563
4384,,,1,8,16,21,0.1177,0.140314,109252.343736,0.024173,0.09839,0.002378,0.000128,0.000128,32,0.428571,12,0.093288
12158,,,1,4,8,21,0.114174,0.13527,0,0,0.480349,0,0.000095,0.000095,32,1,6,0.059962
12159,,,1,4,8,21,0.114174,0.13527,0,0,0.480349,0,0.000095,0.000095,32,1,6,0.059962
5243,,,1,3,6,22,0.102688,0.116567,0,0,0.428571,0,0.00004,0.00004,15,1,3,0.015711
5244,,,1,3,6,22,0.102688,0.116567,0,0,0.428571,0,0.00004,0.00004,15,1,3,0.015711
5245,,,1,3,6,22,0.102688,0.116567,0,0,0.428571,0,0.00004,0.00004,15,1,3,0.015711
12512,,,1,2,4,22,0.102684,0.1164,0,0,0.818182,0,0.000036,0.000036,15,1,1,0.011942
12513,,,1,2,4,22,0.102684,0.1164,0,0,0.818182,0,0.000036,0.000036,15,1,1,0.011942
11109,,,1,4,8,22,0.105052,0.121868,0,0,0.466321,0,0.000052,0.000052,29,1,6,0.051721
