Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,componentnumber,modularity_class,betweennesscentrality2,bridgingcoefficient,bridgingcentrality,clustering,triangles,eigencentrality
7472,,,4,8,1,1,1,0,0,0,1156,0,0,0.25,0,1,6,0.012906
7473,,,4,8,1,1,1,0,0,0,1156,0,0,0.25,0,1,6,0.012906
7474,,,4,8,1,1,1,0,0,0,1156,0,0,0.25,0,1,6,0.012906
7475,,,4,8,1,1,1,0,0,0,1156,0,0,0.25,0,1,6,0.012906
7476,,,4,8,1,1,1,0,0,0,1156,0,0,0.25,0,1,6,0.012906
7478,,,4,8,1,1,1,0,0,0,1157,0,0,0.25,0,1,6,0.012906
7479,,,4,8,1,1,1,0,0,0,1157,0,0,0.25,0,1,6,0.012906
7480,,,4,8,1,1,1,0,0,0,1157,0,0,0.25,0,1,6,0.012906
7481,,,4,8,1,1,1,0,0,0,1157,0,0,0.25,0,1,6,0.012906
7482,,,4,8,1,1,1,0,0,0,1157,0,0,0.25,0,1,6,0.012906
7487,,,6,14,2,0.75,0.833333,3,0,0,1158,0,0,0.117318,0,0.6,9,0.027644
7488,,,4,8,2,0.642857,0.722222,0,0,0,1158,0,0,0.372781,0,1,6,0.022148
7489,,,7,16,2,0.818182,0.888889,4.5,0,0,1158,0,0,0.093506,0,0.571429,12,0.032573
7490,,,4,8,2,0.642857,0.722222,0,0,0,1158,0,0,0.372781,0,1,6,0.022148
7491,,,9,22,1,1,1,13.5,0,0,1158,0,0,0.049911,0,0.416667,15,0.038069
12622,,,3,6,2,0.6,0.666667,0,0,0,1158,0,0,0.545455,0,1,3,0.015289
12623,,,3,6,2,0.6,0.666667,0,0,0,1158,0,0,0.545455,0,1,3,0.015289
8500,,,4,8,2,0.642857,0.722222,0,0,0,1158,0,0,0.331579,0,1,6,0.020875
8501,,,4,8,2,0.642857,0.722222,0,0,0,1158,0,0,0.331579,0,1,6,0.020875
8502,,,4,8,2,0.642857,0.722222,0,0,0,1158,0,0,0.331579,0,1,6,0.020875
7492,,,2,4,1,1,1,0,0,0,1159,0,0,0.5,0,1,1,0.003491
7493,,,2,4,1,1,1,0,0,0,1159,0,0,0.5,0,1,1,0.003491
7494,,,2,4,1,1,1,0,0,0,1159,0,0,0.5,0,1,1,0.003491
7499,,,2,4,1,1,1,0,0,0,1160,0,0,0.5,0,1,1,0.003491
7500,,,2,4,1,1,1,0,0,0,1160,0,0,0.5,0,1,1,0.003491
7501,,,2,4,1,1,1,0,0,0,1160,0,0,0.5,0,1,1,0.003491
7505,,,2,4,1,1,1,0,0,0,1161,0,0,0.5,0,1,1,0.003491
7506,,,2,4,1,1,1,0,0,0,1161,0,0,0.5,0,1,1,0.003491
7507,,,2,4,1,1,1,0,0,0,1161,0,0,0.5,0,1,1,0.003491
7508,,,4,8,1,1,1,0,0,0,1162,0,0,0.25,0,1,6,0.012906
7509,,,4,8,1,1,1,0,0,0,1162,0,0,0.25,0,1,6,0.012906
7510,,,4,8,1,1,1,0,0,0,1162,0,0,0.25,0,1,6,0.012906
7511,,,4,8,1,1,1,0,0,0,1162,0,0,0.25,0,1,6,0.012906
7512,,,4,8,1,1,1,0,0,0,1162,0,0,0.25,0,1,6,0.012906
7519,,,4,8,1,1,1,0,0,0,1163,0,0,0.25,0,1,6,0.012906
7520,,,4,8,1,1,1,0,0,0,1163,0,0,0.25,0,1,6,0.012906
7521,,,4,8,1,1,1,0,0,0,1163,0,0,0.25,0,1,6,0.012906
7522,,,4,8,1,1,1,0,0,0,1163,0,0,0.25,0,1,6,0.012906
7523,,,4,8,1,1,1,0,0,0,1163,0,0,0.25,0,1,6,0.012906
7524,,,1,2,2,0.555556,0.6,0,0,0,1164,0,0,5,0,0,0,0.00362
7525,,,5,10,1,1,1,4,0,0,1164,0,0,0.1,0,0.6,6,0.014758
10474,,,4,8,2,0.833333,0.9,0,0,0,1164,0,0,0.263158,0,1,6,0.013517
10475,,,4,8,2,0.833333,0.9,0,0,0,1164,0,0,0.263158,0,1,6,0.013517
10476,,,4,8,2,0.833333,0.9,0,0,0,1164,0,0,0.263158,0,1,6,0.013517
10477,,,4,8,2,0.833333,0.9,0,0,0,1164,0,0,0.263158,0,1,6,0.013517
7526,,,2,4,1,1,1,0,0,0,1165,0,0,0.5,0,1,1,0.003491
7527,,,2,4,1,1,1,0,0,0,1165,0,0,0.5,0,1,1,0.003491
7528,,,2,4,1,1,1,0,0,0,1165,0,0,0.5,0,1,1,0.003491
7532,,,2,4,1,1,1,0,0,0,1166,0,0,0.5,0,1,1,0.003491
7533,,,2,4,1,1,1,0,0,0,1166,0,0,0.5,0,1,1,0.003491
7534,,,2,4,1,1,1,0,0,0,1166,0,0,0.5,0,1,1,0.003491
7535,,,2,4,1,1,1,0,0,0,1167,0,0,0.5,0,1,1,0.003491
7536,,,2,4,1,1,1,0,0,0,1167,0,0,0.5,0,1,1,0.003491
7537,,,2,4,1,1,1,0,0,0,1167,0,0,0.5,0,1,1,0.003491
8057,,,6,12,5,0.389831,0.468841,236,0,0,121,0,0.000003,0.126655,0,0.466667,7,0.037859
8058,,,4,8,5,0.345865,0.413043,0,0,0,121,0,0,0.39521,0,1,6,0.027971
8059,,,4,8,5,0.345865,0.413043,0,0,0,121,0,0,0.39521,0,1,6,0.027971
8060,,,8,16,5,0.396552,0.49058,282.5,0,0,121,0,0.000003,0.087766,0,0.428571,12,0.052225
9494,,,4,8,6,0.294872,0.365942,0,0,0,121,0,0,0.297297,0,1,6,0.021101
9495,,,4,8,6,0.294872,0.365942,0,0,0,121,0,0,0.297297,0,1,6,0.021101
9496,,,4,8,6,0.294872,0.365942,0,0,0,121,0,0,0.297297,0,1,6,0.021101
9497,,,4,8,6,0.294872,0.365942,0,0,0,121,0,0,0.297297,0,1,6,0.021101
7542,,,1,2,1,1,1,0,0,0,1168,0,0,1,0,0,0,0.00128
7543,,,1,2,1,1,1,0,0,0,1168,0,0,1,0,0,0,0.00128
7547,,,3,6,4,0.384615,0.488889,0,0,0,1169,0,0,0.411765,0,1,3,0.010808
7548,,,3,6,4,0.384615,0.488889,0,0,0,1169,0,0,0.411765,0,1,3,0.010808
7549,,,3,6,4,0.384615,0.488889,0,0,0,1169,0,0,0.411765,0,1,3,0.010808
7550,,,7,14,3,0.555556,0.688889,36,0,0,1169,0,0,0.07619,0,0.428571,9,0.026503
8322,,,4,8,3,0.5,0.588889,0,0,0,1169,0,0,0.325581,0,1,6,0.019568
8323,,,4,8,3,0.5,0.588889,0,0,0,1169,0,0,0.325581,0,1,6,0.019568
8324,,,4,8,3,0.5,0.588889,0,0,0,1169,0,0,0.325581,0,1,6,0.019568
8325,,,8,16,2,0.681818,0.766667,56,0,0,1169,0,0.000001,0.070707,0,0.428571,12,0.035358
7551,,,5,14,2,0.692308,0.777778,0.666667,0,0,1170,0,0,0.174757,0,0.8,8,0.022017
7552,,,3,6,2,0.6,0.666667,0,0,0,1170,0,0,0.652174,0,1,3,0.015348
7553,,,5,14,2,0.692308,0.777778,0.666667,0,0,1170,0,0,0.174757,0,0.8,8,0.022017
7554,,,9,22,1,1,1,20.666667,0,0,1170,0,0,0.049751,0,0.388889,14,0.034752
10661,,,4,8,2,0.642857,0.722222,0,0,0,1170,0,0,0.328467,0,1,6,0.019242
10662,,,4,8,2,0.642857,0.722222,0,0,0,1170,0,0,0.328467,0,1,6,0.019242
9926,,,4,8,2,0.642857,0.722222,0,0,0,1170,0,0,0.290323,0,1,6,0.017764
9927,,,4,8,2,0.642857,0.722222,0,0,0,1170,0,0,0.290323,0,1,6,0.017764
9928,,,4,8,2,0.642857,0.722222,0,0,0,1170,0,0,0.290323,0,1,6,0.017764
9929,,,4,8,2,0.642857,0.722222,0,0,0,1170,0,0,0.290323,0,1,6,0.017764
7557,,,2,4,1,1,1,0,0,0,1171,0,0,0.5,0,1,1,0.003491
7558,,,2,4,1,1,1,0,0,0,1171,0,0,0.5,0,1,1,0.003491
7559,,,2,4,1,1,1,0,0,0,1171,0,0,0.5,0,1,1,0.003491
7560,,,4,8,2,0.7,0.785714,0,0,0,1172,0,0,0.318182,0,1,6,0.018604
7561,,,7,16,1,1,1,4.5,0,0,1172,0,0,0.086957,0,0.571429,12,0.028405
7562,,,4,8,2,0.7,0.785714,0,0,0,1172,0,0,0.318182,0,1,6,0.018604
7563,,,7,16,1,1,1,4.5,0,0,1172,0,0,0.086957,0,0.571429,12,0.028405
7564,,,4,8,2,0.7,0.785714,0,0,0,1172,0,0,0.318182,0,1,6,0.018604
10145,,,4,8,2,0.7,0.785714,0,0,0,1172,0,0,0.318182,0,1,6,0.018604
10146,,,4,8,2,0.7,0.785714,0,0,0,1172,0,0,0.318182,0,1,6,0.018604
10147,,,4,8,2,0.7,0.785714,0,0,0,1172,0,0,0.318182,0,1,6,0.018604
7565,,,4,8,1,1,1,0,0,0,1173,0,0,0.25,0,1,6,0.012906
7566,,,4,8,1,1,1,0,0,0,1173,0,0,0.25,0,1,6,0.012906
7567,,,4,8,1,1,1,0,0,0,1173,0,0,0.25,0,1,6,0.012906
7568,,,4,8,1,1,1,0,0,0,1173,0,0,0.25,0,1,6,0.012906
7569,,,4,8,1,1,1,0,0,0,1173,0,0,0.25,0,1,6,0.012906
7573,,,2,4,2,0.666667,0.75,0,0,0,1174,0,0,0.666667,0,1,1,0.004471
7574,,,2,4,2,0.666667,0.75,0,0,0,1174,0,0,0.666667,0,1,1,0.004471
7575,,,4,8,1,1,1,4,0,0,1174,0,0,0.125,0,0.333333,2,0.007484
12864,,,2,4,2,0.666667,0.75,0,0,0,1174,0,0,0.666667,0,1,1,0.004471
12865,,,2,4,2,0.666667,0.75,0,0,0,1174,0,0,0.666667,0,1,1,0.004471
7576,,,2,4,1,1,1,0,0,0,1175,0,0,0.5,0,1,1,0.003491
7577,,,2,4,1,1,1,0,0,0,1175,0,0,0.5,0,1,1,0.003491
7578,,,2,4,1,1,1,0,0,0,1175,0,0,0.5,0,1,1,0.003491
7579,,,7,14,1,1,1,12,0,0,1176,0,0,0.071429,0,0.428571,9,0.022136
7580,,,3,6,2,0.636364,0.714286,0,0,0,1176,0,0,0.411765,0,1,3,0.010291
7581,,,3,6,2,0.636364,0.714286,0,0,0,1176,0,0,0.411765,0,1,3,0.010291
7582,,,3,6,2,0.636364,0.714286,0,0,0,1176,0,0,0.411765,0,1,3,0.010291
7773,,,4,8,2,0.7,0.785714,0,0,0,1176,0,0,0.28,0,1,6,0.015313
7774,,,4,8,2,0.7,0.785714,0,0,0,1176,0,0,0.28,0,1,6,0.015313
7775,,,4,8,2,0.7,0.785714,0,0,0,1176,0,0,0.28,0,1,6,0.015313
7776,,,4,8,2,0.7,0.785714,0,0,0,1176,0,0,0.28,0,1,6,0.015313
7585,,,3,6,1,1,1,0,0,0,1177,0,0,0.333333,0,1,3,0.007127
7586,,,3,6,1,1,1,0,0,0,1177,0,0,0.333333,0,1,3,0.007127
7587,,,3,6,1,1,1,0,0,0,1177,0,0,0.333333,0,1,3,0.007127
7588,,,3,6,1,1,1,0,0,0,1177,0,0,0.333333,0,1,3,0.007127
7589,,,4,8,2,0.833333,0.9,0,0,0,1178,0,0,0.263158,0,1,6,0.013517
7590,,,5,10,1,1,1,4,0,0,1178,0,0,0.1,0,0.6,6,0.014758
7591,,,4,8,2,0.833333,0.9,0,0,0,1178,0,0,0.263158,0,1,6,0.013517
7592,,,4,8,2,0.833333,0.9,0,0,0,1178,0,0,0.263158,0,1,6,0.013517
7593,,,4,8,2,0.833333,0.9,0,0,0,1178,0,0,0.263158,0,1,6,0.013517
